Tipo,N,Workers,Tiempo
Secuencial,400,1,
Secuencial,800,1,
Secuencial,1200,1,
Secuencial,1600,1,
Secuencial,2000,1,
Secuencial,2400,1,
Secuencial,2800,1,
Secuencial,3200,1,
Secuencial,3600,1,
Secuencial,4000,1,
Secuencial,4400,1,
Secuencial,4800,1,
Secuencial,5000,1,
Threads,400,1,
Threads,400,2,
Threads,400,4,
Threads,400,6,
Threads,400,8,
Threads,400,10,
Threads,400,12,
Threads,800,1,
Threads,800,2,
Threads,800,4,
Threads,800,6,
Threads,800,8,
Threads,800,10,
Threads,800,12,
Threads,1200,1,
Threads,1200,2,
Threads,1200,4,
Threads,1200,6,
Threads,1200,8,
Threads,1200,10,
Threads,1200,12,
Threads,1600,1,
Threads,1600,2,
Threads,1600,4,
Threads,1600,6,
Threads,1600,8,
Threads,1600,10,
Threads,1600,12,
Threads,2000,1,
Threads,2000,2,
Threads,2000,4,
Threads,2000,6,
Threads,2000,8,
Threads,2000,10,
Threads,2000,12,
Threads,2400,1,
Threads,2400,2,
Threads,2400,4,
Threads,2400,6,
Threads,2400,8,
Procesos,400,1,
Procesos,400,2,
Procesos,400,4,
Procesos,400,6,
Procesos,400,8,
Procesos,400,10,
Procesos,400,12,
Procesos,800,1,
Procesos,800,2,
Procesos,800,4,
Procesos,800,6,
Procesos,800,8,
Procesos,800,10,
Procesos,800,12,
